"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.780370750E0,-6.010301514E0,4.748425598E0,1.648072815E-1,7.661490154E0
1.790427750E0,-4.515809326E0,4.487368469E0,-1.112486572E0,6.462711198E0
1.800484750E0,-3.472478943E0,4.454886017E0,-2.655328217E0,6.241385052E0
1.810541750E0,-2.254761200E0,4.512216797E0,-3.688330078E0,6.248826070E0
1.820598750E0,-1.014889526E0,4.295168152E0,-3.485202484E0,5.623620414E0
1.830655750E0,-7.093748474E-1,3.778442688E0,-2.250120850E0,4.454535403E0
1.840711750E0,-1.398392029E0,3.379671936E0,-9.050180054E-1,3.767856188E0
1.850768750E0,-1.847009125E0,3.059787140E0,-9.909393311E-2,3.575410418E0
1.860825750E0,-1.833537140E0,2.651585999E0,4.381388855E-1,3.253418577E0
1.870882750E0,-1.230890350E0,2.553390198E0,1.266965332E0,3.104850030E0
1.880939750E0,-7.699987793E-1,2.443668365E0,2.734962616E0,3.747590387E0
1.890996750E0,-3.362008667E-1,2.425556030E0,3.378624115E0,4.172703439E0
1.901053750E0,1.598675537E-1,2.638263702E0,4.714146881E0,5.404551213E0
1.911110750E0,4.417314148E-1,2.266436920E0,4.376449127E0,4.948249177E0
1.921167750E0,1.815724182E-1,5.059628448E0,5.269941101E0,7.307878474E0
1.931224750E0,-4.793631592E0,2.319771011E1,6.560407562E0,2.457949564E1
1.941280750E0,-6.904092865E0,4.931045837E1,1.302261932E1,5.146626485E1
1.951337750E0,5.206173706E0,4.834990585E1,1.723201584E1,5.159224758E1
1.961394750E0,1.628358810E1,3.593876495E1,4.985083466E0,3.976934907E1
1.971451750E0,1.633762573E1,1.993269974E1,-1.832429443E1,3.162293946E1
1.981508750E0,6.821165314E0,8.327333221E0,-1.019978943E1,1.482931149E1
1.991565750E0,2.454296265E0,3.823349304E0,-3.378025360E0,5.661503810E0
2.001622750E0,8.864566040E-1,3.355871429E0,9.159452820E-1,3.589795833E0
2.011679750E0,-1.168619843E0,5.000950470E0,3.327879639E0,6.119637312E0
2.021736750E0,-4.177812195E-1,7.081473999E0,4.424499207E0,8.360502878E0
2.031793750E0,1.369502106E0,7.943381653E0,4.641697540E0,9.301516229E0
2.041849750E0,1.798659668E0,8.389603729E0,4.274960175E0,9.586235540E0
2.051906750E0,1.905836792E0,9.061107330E0,3.532055054E0,9.910161090E0
2.061963750E0,1.741777954E0,9.223669281E0,2.522853699E0,9.719807417E0
2.072020750E0,1.229543152E0,9.628277893E0,1.132993927E0,9.772368535E0
2.082077750E0,8.192463684E-1,1.026131149E1,1.164578247E-1,1.029462193E1
2.092134750E0,7.691006470E-1,1.048644333E1,-1.803749084E-1,1.051615636E1
2.102191750E0,7.563771057E-1,1.031055908E1,1.998344421E-1,1.034019674E1
2.112248750E0,8.827143860E-1,9.987081757E0,8.271798706E-1,1.006008018E1
2.122305750E0,7.140151978E-1,9.518556061E0,1.056952057E0,9.603638625E0
2.132362750E0,6.280938721E-1,9.281449127E0,1.169218597E0,9.375866464E0
2.142418750E0,6.667135620E-1,9.442214813E0,1.264720001E0,9.549840011E0
2.152475750E0,6.710545349E-1,9.602830811E0,1.135388947E0,9.692975901E0
2.162532750E0,7.635621643E-1,9.827663269E0,8.292755127E-1,9.892102425E0
2.172589750E0,8.280780029E-1,1.003992188E1,5.411247253E-1,1.008853609E1
2.182646750E0,8.863069153E-1,1.003692810E1,4.156855774E-1,1.008455553E1
2.192703750E0,8.887019348E-1,9.933193817E0,4.722679138E-1,9.984045649E0
2.202760750E0,9.639953613E-1,9.961634674E0,6.849755859E-1,1.003158233E1
2.212817750E0,1.168769531E0,9.913135529E0,8.952882385E-1,1.002186705E1
2.222874750E0,1.323697357E0,9.674232330E0,1.021176453E0,9.817624317E0
2.232931750E0,1.314117279E0,9.397906952E0,1.107097778E0,9.553702151E0
2.242987750E0,1.218017120E0,9.450298004E0,1.143322449E0,9.596816362E0
2.253044750E0,1.291364594E0,9.542356567E0,1.147513733E0,9.697472822E0
2.263101750E0,1.284179535E0,9.636061707E0,1.061742096E0,9.779064299E0
2.273158750E0,1.289568329E0,9.723479919E0,9.023236084E-1,9.850037366E0
2.283215750E0,1.237476654E0,9.706415405E0,7.782316589E-1,9.815879635E0
2.293272750E0,1.210832062E0,9.725126495E0,8.378077698E-1,9.835960629E0
2.303329750E0,1.183289337E0,9.695488129E0,9.069639587E-1,9.809446841E0
2.313386750E0,1.198856964E0,9.746382294E0,8.120613098E-1,9.853358281E0
2.323443750E0,1.309177551E0,9.796827393E0,8.096662903E-1,9.917022352E0
2.333500750E0,1.417252808E0,9.911039886E0,7.997868347E-1,1.004375309E1
2.343556750E0,1.197958832E0,9.817783813E0,5.908213806E-1,9.908231642E0
2.353613750E0,1.547182617E0,9.741143188E0,1.029858398E0,9.916867096E0
2.363670833E0,1.076710968E0,9.485175476E0,5.671705627E-1,9.562925429E0
2.373727833E0,1.042132874E0,9.591604156E0,2.502795410E-1,9.651297896E0
2.383784833E0,1.555565186E0,9.451345825E0,7.475454712E-1,9.607629530E0
2.393841833E0,7.610174561E-1,9.654623108E0,9.536668396E-1,9.731411787E0
2.403898833E0,9.859996033E-1,9.848170624E0,1.125509491E0,9.961196287E0
2.413955833E0,1.058448944E0,9.753417664E0,1.073417816E0,9.869229762E0
2.424012833E0,1.048419800E0,9.731712799E0,7.524851990E-1,9.816906440E0
2.434069833E0,1.176253967E0,9.747579803E0,6.545887756E-1,9.840090034E0
2.444125833E0,1.045426025E0,9.739646301E0,7.617658997E-1,9.825167323E0
2.454182833E0,1.059197388E0,9.693392487E0,8.385562134E-1,9.787079929E0
2.464239833E0,1.080153809E0,9.707762604E0,8.250842285E-1,9.802456376E0
2.474296833E0,1.001267853E0,9.758058014E0,7.005432129E-1,9.834276502E0
2.484353833E0,1.046324158E0,9.768236847E0,5.716612244E-1,9.840733809E0
2.494410833E0,1.061592407E0,9.765243073E0,5.375321960E-1,9.837473841E0
2.504467833E0,1.018781433E0,9.762548676E0,5.825885010E-1,9.832836906E0
2.514524833E0,9.324110413E-1,9.757758636E0,6.956034851E-1,9.826856474E0
2.524581833E0,8.954379272E-1,9.751621399E0,7.518864441E-1,9.821469453E0
2.534638833E0,8.071215820E-1,9.763147430E0,7.918533325E-1,9.828403975E0
2.544694833E0,8.836125183E-1,9.793683929E0,8.084687805E-1,9.866642679E0
2.554751833E0,8.647517395E-1,9.764943695E0,7.933502197E-1,9.835208463E0
2.564808833E0,7.523355103E-1,9.741143188E0,7.933502197E-1,9.802310131E0
2.574865833E0,8.250842285E-1,9.777966614E0,7.807763672E-1,9.843729315E0
2.584922833E0,9.300160217E-1,9.816436615E0,6.494993591E-1,9.881761333E0
2.594979833E0,9.252259827E-1,9.864037628E0,5.791456604E-1,9.924247636E0
2.605036833E0,8.672964478E-1,9.861941986E0,7.710466003E-1,9.929985686E0
2.615093833E0,6.572831726E-1,9.867330780E0,9.937834167E-1,9.939006156E0
2.625150833E0,5.574407959E-1,9.853858795E0,1.066831512E0,9.927104456E0
2.635207833E0,5.173242188E-1,9.814191284E0,1.109343109E0,9.890228362E0
2.645264833E0,3.787124634E-1,9.794582062E0,1.096020813E0,9.862987505E0
2.655320833E0,3.397933960E-1,9.799222412E0,1.075513458E0,9.863921565E0
2.665377833E0,2.683918762E-1,9.792935486E0,9.798623657E-1,9.845493887E0
2.675434833E0,2.047741699E-1,9.770033112E0,9.372010803E-1,9.817017130E0
2.685491833E0,1.859133911E-1,9.692344666E0,9.767189026E-1,9.743207312E0
2.695548833E0,2.022294617E-1,9.600435791E0,1.015787659E0,9.656142537E0
2.705605833E0,2.941383362E-1,9.529633026E0,9.895921326E-1,9.585390736E0
2.715662833E0,4.784051514E-1,9.501341858E0,9.807604980E-1,9.563799441E0
2.725719833E0,6.045927429E-1,9.510173492E0,9.759704590E-1,9.579219727E0
2.735776833E0,8.108638000E-1,9.558822327E0,1.008602600E0,9.646028384E0
2.745833833E0,1.043629761E0,9.621092834E0,1.058448944E0,9.735240345E0
2.755889833E0,1.192420349E0,9.676028595E0,1.111438751E0,9.812374420E0
2.765946833E0,1.334774323E0,9.710906067E0,1.202898560E0,9.875742204E0
2.776003833E0,1.454375610E0,9.728868713E0,1.267713776E0,9.918326123E0
2.786060833E0,1.524729309E0,9.737251282E0,1.271755371E0,9.937616601E0
2.796117833E0,1.561103668E0,9.737999725E0,1.252894592E0,9.941600886E0
2.806174833E0,1.576072540E0,9.757608948E0,1.236578522E0,9.961127620E0
2.816231833E0,1.546134796E0,9.746382294E0,1.237925720E0,9.945600068E0
2.826288833E0,1.394051056E0,9.735604706E0,1.236428833E0,9.912322311E0
2.836345833E0,1.472787323E0,9.756411438E0,1.230740662E0,9.943409336E0
2.846402833E0,1.424288177E0,9.740694122E0,1.201850739E0,9.917366787E0
2.856459833E0,1.287322998E0,9.726473694E0,1.227447510E0,9.887776211E0
2.866515833E0,1.229243774E0,9.688901825E0,1.335223389E0,9.857417528E0
2.876572833E0,1.157393188E0,9.628427582E0,1.355581055E0,9.792026179E0
2.886629833E0,1.131796417E0,9.618548126E0,1.295705566E0,9.771196657E0
2.896686833E0,1.127006378E0,9.620194702E0,1.265618134E0,9.768320160E0
2.906743833E0,1.088087311E0,9.638905792E0,1.209484863E0,9.775238744E0
2.916800833E0,1.067280579E0,9.685608673E0,1.150956573E0,9.811972495E0
2.926857833E0,1.060095520E0,9.706116028E0,1.074765015E0,9.822810733E0
2.936914833E0,1.084943848E0,9.740544434E0,1.005908203E0,9.852266761E0
2.946971833E0,1.087787933E0,9.753118286E0,9.723779297E-1,9.861648834E0
2.957028833E0,1.065634003E0,9.748028870E0,9.452842712E-1,9.851558507E0
2.967084833E0,1.008153534E0,9.722881165E0,9.768685913E-1,9.823699096E0
2.977141833E0,9.517208862E-1,9.707762604E0,9.982740784E-1,9.805252600E0
2.987198833E0,9.178912354E-1,9.705816650E0,1.008153534E0,9.801110892E0
2.997255833E0,8.572673035E-1,9.716893616E0,1.006806335E0,9.806456433E0
3.007312833E0,8.175997925E-1,9.744286652E0,1.002914429E0,9.829823453E0
3.017369833E0,7.803273010E-1,9.749675446E0,9.840536499E-1,9.830231105E0
3.027426833E0,7.827223206E-1,9.740993500E0,9.545649719E-1,9.818900289E0
3.037483833E0,8.333171082E-1,9.699080658E0,9.142987061E-1,9.777654378E0
3.047540833E0,9.192384338E-1,9.670041046E0,8.864566040E-1,9.753999100E0
3.057597833E0,9.725276184E-1,9.633666687E0,8.957373047E-1,9.723974965E0
3.067654833E0,1.029708710E0,9.617799683E0,9.469308472E-1,9.719004516E0
3.077710833E0,1.095122681E0,9.629625092E0,1.018332367E0,9.745048686E0
3.087767833E0,1.146016846E0,9.651779022E0,1.040635986E0,9.775127424E0
3.097824833E0,1.184037781E0,9.680968323E0,1.052760773E0,9.809760363E0
3.107881833E0,1.224004669E0,9.706714783E0,1.075812836E0,9.842554169E0
3.117938833E0,1.253643036E0,9.717642059E0,1.072369995E0,9.856681260E0
3.127995833E0,1.286275177E0,9.701924744E0,1.043180695E0,9.842259574E0
3.138052833E0,1.322948914E0,9.690099335E0,1.005159760E0,9.831508790E0
3.148109833E0,1.349443817E0,9.690099335E0,9.870474243E-1,9.833274447E0
3.158166833E0,1.362317047E0,9.697733459E0,9.879455566E-1,9.842661145E0
3.168223833E0,1.385668488E0,9.687105560E0,9.973759460E-1,9.836404326E0
3.178280833E0,1.415755920E0,9.688752136E0,1.018182678E0,9.844438976E0
3.188336833E0,1.438059540E0,9.699529724E0,1.055305481E0,9.862178348E0
3.198393833E0,1.465602264E0,9.700876923E0,1.082997894E0,9.870556595E0
3.208450833E0,1.466051331E0,9.691446533E0,1.088985443E0,9.862014587E0
3.218507833E0,1.456620941E0,9.659113770E0,1.084045715E0,9.828294791E0
3.228564833E0,1.429676971E0,9.648785248E0,1.059646454E0,9.811517905E0
3.238621833E0,1.396446075E0,9.624685364E0,1.024319916E0,9.779256684E0
3.248678833E0,1.367256775E0,9.649384003E0,9.879455566E-1,9.795715346E0
3.258735833E0,1.347198486E0,9.676777039E0,9.704319763E-1,9.818181901E0
3.268792833E0,1.342109070E0,9.695188751E0,9.698332214E-1,9.835574114E0
3.278849833E0,1.337319031E0,9.690099335E0,1.003513184E0,9.833284600E0
3.288906833E0,1.335672455E0,9.679022369E0,1.027613068E0,9.824636561E0
3.298962833E0,1.337468719E0,9.657916260E0,1.051114197E0,9.806579940E0
3.309019833E0,1.339714050E0,9.651779022E0,1.053209839E0,9.801067442E0
3.319076833E0,1.326840820E0,9.651629333E0,1.033151550E0,9.797033096E0
